fuente,contenido,texto_limpio
Email,Solicito información de cuotas y detalles para inicial 3 años. Atte: Thiago.,solicito informacion de cuotas y detalles para inicial 3 anos atte thiago
Web,REQUISITOS PARA TRASLADO A 1ERO SECUNDARIA. POSTULANTE: MARIA.,requisitos para traslado a 1ero secundaria postulante maria
Web,<p><b>charlas de admision para inicial 3 años. Mi menor es Sebastian.</b></p>,charlas de admision para inicial 3 anos mi menor es sebastian
Email,Solicito información de mensualidad y detalles para 5to secundaria. Atte: Thiago.,solicito informacion de mensualidad y detalles para 5to secundaria atte thiago
Web,<p><b>reunión de admision para primer año. Mi menor es Pedro.</b></p>,reunion de admision para primer ano mi menor es pedro
WhatsApp,Hola hay lugares para primer grado? Mi niño se llama Lucia.,hola hay lugares para primer grado mi nino se llama lucia
Email,"<p><b>Estimados, quisiera saber los precios de primer grado para mi hijo Pedro.</b></p>",estimados quisiera saber los precios de primer grado para mi hijo pedro
WhatsApp,SABER SI HAY ESPACIOS EN PRIMER GRADO PARA LUIS. GRACIAS.,saber si hay espacios en primer grado para luis gracias
Email,SOLICITO INFORMACIÓN DE PENSIONES Y DETALLES PARA 1ERO PRIMARIA. ATTE: MATEO.,solicito informacion de pensiones y detalles para 1ero primaria atte mateo
WhatsApp,Saber si hay cupos en primer grado para Lucia. Gracias.,saber si hay cupos en primer grado para lucia gracias
WhatsApp,Saber si hay lugares en primer grado para Camila. Gracias.,saber si hay lugares en primer grado para camila gracias
WhatsApp,Saber si hay lugares en inicial 5 años para Maria. Gracias.,saber si hay lugares en inicial 5 anos para maria gracias
Web,cronograma de admision para inicial 3 años. Mi menor es Maria.,cronograma de admision para inicial 3 anos mi menor es maria
Email,Solicito información de costos y detalles para 6to primaria. Atte: Nicolas.,solicito informacion de costos y detalles para 6to primaria atte nicolas
WhatsApp,Hola hay espacios para 5to secundaria? Mi niño se llama Lucia.,hola hay espacios para 5to secundaria mi nino se llama lucia
Web,documentos para traslado a primer grado. Postulante: Valentina.,documentos para traslado a primer grado postulante valentina
WhatsApp,SABER SI HAY LUGARES EN INICIAL 4 AÑOS PARA NICOLAS. GRACIAS.,saber si hay lugares en inicial 4 anos para nicolas gracias
Email,Solicito información de precios y detalles para 5to secundaria. Atte: Juan.,solicito informacion de precios y detalles para 5to secundaria atte juan
Email,<p><b>Solicito información de mensualidad y detalles para inicial 5 años. Atte: Gabriel.</b></p>,solicito informacion de mensualidad y detalles para inicial 5 anos atte gabriel
Web,PAPELES PARA TRASLADO A 5TO SECUNDARIA. POSTULANTE: THIAGO.,papeles para traslado a 5to secundaria postulante thiago
Email,<p><b>Solicito información de mensualidad y detalles para inicial 4 años. Atte: Ana.</b></p>,solicito informacion de mensualidad y detalles para inicial 4 anos atte ana
WhatsApp,Hola hay disponibilidad de ingreso para inicial 5 años? Mi niño se llama Pedro.,hola hay disponibilidad de ingreso para inicial 5 anos mi nino se llama pedro
Email,"Estimados, quisiera saber los pensiones de inicial 5 años para mi hijo Ana.",estimados quisiera saber los pensiones de inicial 5 anos para mi hijo ana
Web,entrevistas de admision para inicial 4 años. Mi menor es Sebastian.,entrevistas de admision para inicial 4 anos mi menor es sebastian
WhatsApp,HOLA HAY DISPONIBILIDAD DE INGRESO PARA 1ERO PRIMARIA? MI NIÑO SE LLAMA NICOLAS.,hola hay disponibilidad de ingreso para 1ero primaria mi nino se llama nicolas
Email,"<p><b>Estimados, quisiera saber los cuotas de inicial 3 años para mi hijo Thiago.</b></p>",estimados quisiera saber los cuotas de inicial 3 anos para mi hijo thiago
Web,charlas de admision para primer año. Mi menor es Camila.,charlas de admision para primer ano mi menor es camila
WhatsApp,Hola hay cupos para 1ero primaria? Mi niño se llama Maria.,hola hay cupos para 1ero primaria mi nino se llama maria
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN SECUNDARIA PARA NICOLAS. GRACIAS.,saber si hay disponibilidad de ingreso en secundaria para nicolas gracias
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Gabriel.,hola hay vacantes para 6to primaria mi nino se llama gabriel
Email,SOLICITO INFORMACIÓN DE COSTOS Y DETALLES PARA 6TO PRIMARIA. ATTE: MATEO.,solicito informacion de costos y detalles para 6to primaria atte mateo
WhatsApp,SABER SI HAY LUGARES EN INICIAL 3 AÑOS PARA MATEO. GRACIAS.,saber si hay lugares en inicial 3 anos para mateo gracias
Web,reunión de admision para inicial 5 años. Mi menor es Thiago.,reunion de admision para inicial 5 anos mi menor es thiago
WhatsApp,<p><b>Hola hay espacios para secundaria? Mi niño se llama Juan.</b></p>,hola hay espacios para secundaria mi nino se llama juan
WhatsApp,Hola hay vacantes para primer año? Mi niño se llama Gabriel.,hola hay vacantes para primer ano mi nino se llama gabriel
Email,SOLICITO INFORMACIÓN DE COSTOS Y DETALLES PARA INICIAL 4 AÑOS. ATTE: NICOLAS.,solicito informacion de costos y detalles para inicial 4 anos atte nicolas
Web,<p><b>requisitos para traslado a inicial 4 años. Postulante: Juan.</b></p>,requisitos para traslado a inicial 4 anos postulante juan
Web,papeles para traslado a 1ero secundaria. Postulante: Pedro.,papeles para traslado a 1ero secundaria postulante pedro
Email,"Estimados, quisiera saber los precios de 1ero primaria para mi hijo Ana.",estimados quisiera saber los precios de 1ero primaria para mi hijo ana
Email,"Estimados, quisiera saber los pensiones de 6to primaria para mi hijo Pedro.",estimados quisiera saber los pensiones de 6to primaria para mi hijo pedro
WhatsApp,Hola hay vacantes para primer año? Mi niño se llama Luis.,hola hay vacantes para primer ano mi nino se llama luis
Web,<p><b>partidas para traslado a 6to primaria. Postulante: Luis.</b></p>,partidas para traslado a 6to primaria postulante luis
WhatsApp,Saber si hay cupos en inicial 4 años para Camila. Gracias.,saber si hay cupos en inicial 4 anos para camila gracias
WhatsApp,Hola hay vacantes para secundaria? Mi niño se llama Luis.,hola hay vacantes para secundaria mi nino se llama luis
Email,"ESTIMADOS, QUISIERA SABER LOS CUOTAS DE 6TO PRIMARIA PARA MI HIJO MARIA.",estimados quisiera saber los cuotas de 6to primaria para mi hijo maria
Email,<p><b>Solicito información de pagos y detalles para inicial 4 años. Atte: Sebastian.</b></p>,solicito informacion de pagos y detalles para inicial 4 anos atte sebastian
Web,<p><b>ficha de matrícula para traslado a 6to primaria. Postulante: Elena.</b></p>,ficha de matricula para traslado a 6to primaria postulante elena
WhatsApp,Saber si hay lugares en 5to secundaria para Lucia. Gracias.,saber si hay lugares en 5to secundaria para lucia gracias
Email,"Estimados, quisiera saber los mensualidad de 6to primaria para mi hijo Mateo.",estimados quisiera saber los mensualidad de 6to primaria para mi hijo mateo
WhatsApp,HOLA HAY ESPACIOS PARA PRIMER AÑO? MI NIÑO SE LLAMA MATEO.,hola hay espacios para primer ano mi nino se llama mateo
Web,citas de admision para 1ero primaria. Mi menor es Elena.,citas de admision para 1ero primaria mi menor es elena
Email,Solicito información de pagos y detalles para 1ero secundaria. Atte: Luis.,solicito informacion de pagos y detalles para 1ero secundaria atte luis
Email,Solicito información de cuotas y detalles para inicial 3 años. Atte: Pedro.,solicito informacion de cuotas y detalles para inicial 3 anos atte pedro
Web,<p><b>requisitos para traslado a 1ero primaria. Postulante: Nicolas.</b></p>,requisitos para traslado a 1ero primaria postulante nicolas
Web,entrevistas de admision para 1ero primaria. Mi menor es Elena.,entrevistas de admision para 1ero primaria mi menor es elena
Email,<p><b>Solicito información de precios y detalles para inicial 5 años. Atte: Gabriel.</b></p>,solicito informacion de precios y detalles para inicial 5 anos atte gabriel
WhatsApp,<p><b>Saber si hay vacantes en 1ero secundaria para Lucia. Gracias.</b></p>,saber si hay vacantes en 1ero secundaria para lucia gracias
WhatsApp,Hola hay disponibilidad de ingreso para primer grado? Mi niño se llama Sebastian.,hola hay disponibilidad de ingreso para primer grado mi nino se llama sebastian
WhatsApp,Saber si hay lugares en 1ero secundaria para Camila. Gracias.,saber si hay lugares en 1ero secundaria para camila gracias
WhatsApp,Hola hay espacios para 1ero primaria? Mi niño se llama Valentina.,hola hay espacios para 1ero primaria mi nino se llama valentina
Web,<p><b>partidas para traslado a 1ero secundaria. Postulante: Thiago.</b></p>,partidas para traslado a 1ero secundaria postulante thiago
Email,<p><b>Solicito información de mensualidad y detalles para inicial 4 años. Atte: Pedro.</b></p>,solicito informacion de mensualidad y detalles para inicial 4 anos atte pedro
Email,"<p><b>Estimados, quisiera saber los cuotas de 1ero secundaria para mi hijo Ana.</b></p>",estimados quisiera saber los cuotas de 1ero secundaria para mi hijo ana
Web,<p><b>partidas para traslado a primer grado. Postulante: Mateo.</b></p>,partidas para traslado a primer grado postulante mateo
Web,documentación para traslado a secundaria. Postulante: Luis.,documentacion para traslado a secundaria postulante luis
Email,"<p><b>Estimados, quisiera saber los precios de secundaria para mi hijo Lucia.</b></p>",estimados quisiera saber los precios de secundaria para mi hijo lucia
WhatsApp,Hola hay disponibilidad de ingreso para 5to secundaria? Mi niño se llama Sebastian.,hola hay disponibilidad de ingreso para 5to secundaria mi nino se llama sebastian
Web,requisitos para traslado a inicial 5 años. Postulante: Sofia.,requisitos para traslado a inicial 5 anos postulante sofia
Email,Solicito información de pagos y detalles para 1ero secundaria. Atte: Lucia.,solicito informacion de pagos y detalles para 1ero secundaria atte lucia
Web,papeles para traslado a primer año. Postulante: Ana.,papeles para traslado a primer ano postulante ana
Email,"<p><b>Estimados, quisiera saber los mensualidad de inicial 4 años para mi hijo Elena.</b></p>",estimados quisiera saber los mensualidad de inicial 4 anos para mi hijo elena
Email,"Estimados, quisiera saber los pagos de 1ero primaria para mi hijo Camila.",estimados quisiera saber los pagos de 1ero primaria para mi hijo camila
Web,<p><b>requisitos para traslado a 6to primaria. Postulante: Lucia.</b></p>,requisitos para traslado a 6to primaria postulante lucia
Email,Solicito información de pensiones y detalles para inicial 3 años. Atte: Juan.,solicito informacion de pensiones y detalles para inicial 3 anos atte juan
Email,Solicito información de costos y detalles para primer año. Atte: Thiago.,solicito informacion de costos y detalles para primer ano atte thiago
WhatsApp,Saber si hay espacios en 6to primaria para Pedro. Gracias.,saber si hay espacios en 6to primaria para pedro gracias
Email,Solicito información de pensiones y detalles para primer grado. Atte: Gabriel.,solicito informacion de pensiones y detalles para primer grado atte gabriel
Web,<p><b>ficha de matrícula para traslado a 5to secundaria. Postulante: Elena.</b></p>,ficha de matricula para traslado a 5to secundaria postulante elena
WhatsApp,Hola hay espacios para inicial 5 años? Mi niño se llama Gabriel.,hola hay espacios para inicial 5 anos mi nino se llama gabriel
WhatsApp,Hola hay espacios para inicial 3 años? Mi niño se llama Thiago.,hola hay espacios para inicial 3 anos mi nino se llama thiago
WhatsApp,Hola hay lugares para 1ero primaria? Mi niño se llama Lucia.,hola hay lugares para 1ero primaria mi nino se llama lucia
Web,documentación para traslado a inicial 4 años. Postulante: Gabriel.,documentacion para traslado a inicial 4 anos postulante gabriel
Email,Solicito información de cuotas y detalles para primer grado. Atte: Luis.,solicito informacion de cuotas y detalles para primer grado atte luis
Email,<p><b>Solicito información de cuotas y detalles para 1ero secundaria. Atte: Sofia.</b></p>,solicito informacion de cuotas y detalles para 1ero secundaria atte sofia
Email,"Estimados, quisiera saber los cuotas de 1ero primaria para mi hijo Lucia.",estimados quisiera saber los cuotas de 1ero primaria para mi hijo lucia
Email,<p><b>Solicito información de pensiones y detalles para 6to primaria. Atte: Luis.</b></p>,solicito informacion de pensiones y detalles para 6to primaria atte luis
Web,<p><b>ficha de matrícula para traslado a primer grado. Postulante: Maria.</b></p>,ficha de matricula para traslado a primer grado postulante maria
Email,SOLICITO INFORMACIÓN DE PRECIOS Y DETALLES PARA 1ERO SECUNDARIA. ATTE: SOFIA.,solicito informacion de precios y detalles para 1ero secundaria atte sofia
Email,<p><b>Solicito información de pagos y detalles para secundaria. Atte: Thiago.</b></p>,solicito informacion de pagos y detalles para secundaria atte thiago
Web,<p><b>partidas para traslado a 6to primaria. Postulante: Camila.</b></p>,partidas para traslado a 6to primaria postulante camila
Email,"Estimados, quisiera saber los mensualidad de secundaria para mi hijo Elena.",estimados quisiera saber los mensualidad de secundaria para mi hijo elena
Web,<p><b>documentos para traslado a primer grado. Postulante: Sofia.</b></p>,documentos para traslado a primer grado postulante sofia
WhatsApp,Saber si hay vacantes en inicial 3 años para Maria. Gracias.,saber si hay vacantes en inicial 3 anos para maria gracias
Email,"Estimados, quisiera saber los pensiones de 1ero primaria para mi hijo Gabriel.",estimados quisiera saber los pensiones de 1ero primaria para mi hijo gabriel
Email,"<p><b>Estimados, quisiera saber los costos de 6to primaria para mi hijo Thiago.</b></p>",estimados quisiera saber los costos de 6to primaria para mi hijo thiago
Web,documentación para traslado a primer año. Postulante: Pedro.,documentacion para traslado a primer ano postulante pedro
Web,partidas para traslado a inicial 5 años. Postulante: Pedro.,partidas para traslado a inicial 5 anos postulante pedro
WhatsApp,SABER SI HAY LUGARES EN 5TO SECUNDARIA PARA VALENTINA. GRACIAS.,saber si hay lugares en 5to secundaria para valentina gracias
Email,Solicito información de costos y detalles para 6to primaria. Atte: Pedro.,solicito informacion de costos y detalles para 6to primaria atte pedro
WhatsApp,Hola hay vacantes para primer año? Mi niño se llama Pedro.,hola hay vacantes para primer ano mi nino se llama pedro
WhatsApp,Saber si hay lugares en primer año para Elena. Gracias.,saber si hay lugares en primer ano para elena gracias
Web,<p><b>citas de admision para 6to primaria. Mi menor es Gabriel.</b></p>,citas de admision para 6to primaria mi menor es gabriel
WhatsApp,<p><b>Hola hay vacantes para inicial 3 años? Mi niño se llama Camila.</b></p>,hola hay vacantes para inicial 3 anos mi nino se llama camila
Email,Solicito información de pagos y detalles para 1ero secundaria. Atte: Sebastian.,solicito informacion de pagos y detalles para 1ero secundaria atte sebastian
WhatsApp,Saber si hay lugares en secundaria para Pedro. Gracias.,saber si hay lugares en secundaria para pedro gracias
Web,ficha de matrícula para traslado a primer grado. Postulante: Juan.,ficha de matricula para traslado a primer grado postulante juan
WhatsApp,<p><b>Hola hay vacantes para 1ero secundaria? Mi niño se llama Elena.</b></p>,hola hay vacantes para 1ero secundaria mi nino se llama elena
Web,citas de admision para inicial 3 años. Mi menor es Sebastian.,citas de admision para inicial 3 anos mi menor es sebastian
Web,ficha de matrícula para traslado a inicial 3 años. Postulante: Lucia.,ficha de matricula para traslado a inicial 3 anos postulante lucia
Web,reunión de admision para inicial 5 años. Mi menor es Maria.,reunion de admision para inicial 5 anos mi menor es maria
WhatsApp,Saber si hay disponibilidad de ingreso en primer año para Sebastian. Gracias.,saber si hay disponibilidad de ingreso en primer ano para sebastian gracias
Web,<p><b>partidas para traslado a primer grado. Postulante: Maria.</b></p>,partidas para traslado a primer grado postulante maria
WhatsApp,HOLA HAY VACANTES PARA PRIMER AÑO? MI NIÑO SE LLAMA MARIA.,hola hay vacantes para primer ano mi nino se llama maria
WhatsApp,Saber si hay vacantes en 5to secundaria para Ana. Gracias.,saber si hay vacantes en 5to secundaria para ana gracias
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Thiago.,hola hay vacantes para inicial 4 anos mi nino se llama thiago
Email,"<p><b>Estimados, quisiera saber los cuotas de inicial 3 años para mi hijo Camila.</b></p>",estimados quisiera saber los cuotas de inicial 3 anos para mi hijo camila
Web,<p><b>cronograma de admision para primer año. Mi menor es Pedro.</b></p>,cronograma de admision para primer ano mi menor es pedro
Email,"Estimados, quisiera saber los pensiones de 1ero secundaria para mi hijo Thiago.",estimados quisiera saber los pensiones de 1ero secundaria para mi hijo thiago
WhatsApp,SABER SI HAY VACANTES EN 1ERO PRIMARIA PARA SEBASTIAN. GRACIAS.,saber si hay vacantes en 1ero primaria para sebastian gracias
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA SECUNDARIA. ATTE: VALENTINA.,solicito informacion de cuotas y detalles para secundaria atte valentina
WhatsApp,Saber si hay disponibilidad de ingreso en 5to secundaria para Gabriel. Gracias.,saber si hay disponibilidad de ingreso en 5to secundaria para gabriel gracias
Web,partidas para traslado a 1ero primaria. Postulante: Sofia.,partidas para traslado a 1ero primaria postulante sofia
WhatsApp,HOLA HAY VACANTES PARA PRIMER AÑO? MI NIÑO SE LLAMA SOFIA.,hola hay vacantes para primer ano mi nino se llama sofia
WhatsApp,<p><b>Saber si hay espacios en 5to secundaria para Nicolas. Gracias.</b></p>,saber si hay espacios en 5to secundaria para nicolas gracias
WhatsApp,Hola hay disponibilidad de ingreso para 1ero secundaria? Mi niño se llama Nicolas.,hola hay disponibilidad de ingreso para 1ero secundaria mi nino se llama nicolas
WhatsApp,Hola hay vacantes para 1ero primaria? Mi niño se llama Nicolas.,hola hay vacantes para 1ero primaria mi nino se llama nicolas
WhatsApp,<p><b>Hola hay vacantes para 1ero secundaria? Mi niño se llama Thiago.</b></p>,hola hay vacantes para 1ero secundaria mi nino se llama thiago
WhatsApp,Hola hay disponibilidad de ingreso para 1ero primaria? Mi niño se llama Luis.,hola hay disponibilidad de ingreso para 1ero primaria mi nino se llama luis
WhatsApp,Hola hay espacios para 6to primaria? Mi niño se llama Thiago.,hola hay espacios para 6to primaria mi nino se llama thiago
Web,REQUISITOS PARA TRASLADO A 1ERO PRIMARIA. POSTULANTE: SEBASTIAN.,requisitos para traslado a 1ero primaria postulante sebastian
Email,"Estimados, quisiera saber los pagos de inicial 4 años para mi hijo Sebastian.",estimados quisiera saber los pagos de inicial 4 anos para mi hijo sebastian
WhatsApp,<p><b>Saber si hay vacantes en 6to primaria para Valentina. Gracias.</b></p>,saber si hay vacantes en 6to primaria para valentina gracias
Email,"Estimados, quisiera saber los pensiones de 1ero primaria para mi hijo Juan.",estimados quisiera saber los pensiones de 1ero primaria para mi hijo juan
Web,papeles para traslado a secundaria. Postulante: Camila.,papeles para traslado a secundaria postulante camila
Email,"Estimados, quisiera saber los pensiones de primer año para mi hijo Mateo.",estimados quisiera saber los pensiones de primer ano para mi hijo mateo
WhatsApp,Saber si hay lugares en primer año para Sofia. Gracias.,saber si hay lugares en primer ano para sofia gracias
Email,"Estimados, quisiera saber los pagos de 1ero secundaria para mi hijo Elena.",estimados quisiera saber los pagos de 1ero secundaria para mi hijo elena
WhatsApp,Saber si hay lugares en 5to secundaria para Juan. Gracias.,saber si hay lugares en 5to secundaria para juan gracias
WhatsApp,<p><b>Hola hay disponibilidad de ingreso para 5to secundaria? Mi niño se llama Pedro.</b></p>,hola hay disponibilidad de ingreso para 5to secundaria mi nino se llama pedro
Email,"ESTIMADOS, QUISIERA SABER LOS COSTOS DE INICIAL 3 AÑOS PARA MI HIJO SOFIA.",estimados quisiera saber los costos de inicial 3 anos para mi hijo sofia
Email,<p><b>Solicito información de pensiones y detalles para primer año. Atte: Juan.</b></p>,solicito informacion de pensiones y detalles para primer ano atte juan
Email,"ESTIMADOS, QUISIERA SABER LOS PAGOS DE INICIAL 5 AÑOS PARA MI HIJO NICOLAS.",estimados quisiera saber los pagos de inicial 5 anos para mi hijo nicolas
Web,documentos para traslado a primer año. Postulante: Thiago.,documentos para traslado a primer ano postulante thiago
WhatsApp,Saber si hay cupos en primer año para Valentina. Gracias.,saber si hay cupos en primer ano para valentina gracias
WhatsApp,Hola hay espacios para 1ero primaria? Mi niño se llama Ana.,hola hay espacios para 1ero primaria mi nino se llama ana
Web,cronograma de admision para secundaria. Mi menor es Sebastian.,cronograma de admision para secundaria mi menor es sebastian
Web,cronograma de admision para primer año. Mi menor es Elena.,cronograma de admision para primer ano mi menor es elena
WhatsApp,<p><b>Hola hay cupos para inicial 3 años? Mi niño se llama Lucia.</b></p>,hola hay cupos para inicial 3 anos mi nino se llama lucia
Web,reunión de admision para inicial 5 años. Mi menor es Elena.,reunion de admision para inicial 5 anos mi menor es elena
Email,"<p><b>Estimados, quisiera saber los pensiones de 1ero primaria para mi hijo Luis.</b></p>",estimados quisiera saber los pensiones de 1ero primaria para mi hijo luis
Email,"<p><b>Estimados, quisiera saber los mensualidad de 1ero primaria para mi hijo Juan.</b></p>",estimados quisiera saber los mensualidad de 1ero primaria para mi hijo juan
Email,Solicito información de precios y detalles para inicial 5 años. Atte: Sofia.,solicito informacion de precios y detalles para inicial 5 anos atte sofia
Web,cronograma de admision para secundaria. Mi menor es Sofia.,cronograma de admision para secundaria mi menor es sofia
Web,charlas de admision para primer año. Mi menor es Nicolas.,charlas de admision para primer ano mi menor es nicolas
WhatsApp,Hola hay disponibilidad de ingreso para inicial 3 años? Mi niño se llama Luis.,hola hay disponibilidad de ingreso para inicial 3 anos mi nino se llama luis
Email,Solicito información de precios y detalles para secundaria. Atte: Nicolas.,solicito informacion de precios y detalles para secundaria atte nicolas
Email,"Estimados, quisiera saber los pensiones de 6to primaria para mi hijo Elena.",estimados quisiera saber los pensiones de 6to primaria para mi hijo elena
WhatsApp,Hola hay lugares para primer año? Mi niño se llama Valentina.,hola hay lugares para primer ano mi nino se llama valentina
WhatsApp,<p><b>Hola hay disponibilidad de ingreso para primer grado? Mi niño se llama Ana.</b></p>,hola hay disponibilidad de ingreso para primer grado mi nino se llama ana
Web,entrevistas de admision para 5to secundaria. Mi menor es Sofia.,entrevistas de admision para 5to secundaria mi menor es sofia
WhatsApp,<p><b>Hola hay cupos para inicial 3 años? Mi niño se llama Thiago.</b></p>,hola hay cupos para inicial 3 anos mi nino se llama thiago
Email,"Estimados, quisiera saber los pensiones de 1ero primaria para mi hijo Elena.",estimados quisiera saber los pensiones de 1ero primaria para mi hijo elena
Email,Solicito información de precios y detalles para 5to secundaria. Atte: Gabriel.,solicito informacion de precios y detalles para 5to secundaria atte gabriel
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Camila.",estimados quisiera saber los precios de 6to primaria para mi hijo camila
Web,CRONOGRAMA DE ADMISION PARA PRIMER GRADO. MI MENOR ES PEDRO.,cronograma de admision para primer grado mi menor es pedro
Email,"<p><b>Estimados, quisiera saber los pensiones de inicial 4 años para mi hijo Camila.</b></p>",estimados quisiera saber los pensiones de inicial 4 anos para mi hijo camila
Web,reunión de admision para inicial 3 años. Mi menor es Lucia.,reunion de admision para inicial 3 anos mi menor es lucia
Email,"Estimados, quisiera saber los pagos de inicial 4 años para mi hijo Elena.",estimados quisiera saber los pagos de inicial 4 anos para mi hijo elena
Web,entrevistas de admision para inicial 3 años. Mi menor es Elena.,entrevistas de admision para inicial 3 anos mi menor es elena
Web,requisitos para traslado a primer año. Postulante: Juan.,requisitos para traslado a primer ano postulante juan
Email,"<p><b>Estimados, quisiera saber los pagos de 6to primaria para mi hijo Gabriel.</b></p>",estimados quisiera saber los pagos de 6to primaria para mi hijo gabriel
WhatsApp,Saber si hay disponibilidad de ingreso en 5to secundaria para Ana. Gracias.,saber si hay disponibilidad de ingreso en 5to secundaria para ana gracias
WhatsApp,Saber si hay espacios en inicial 3 años para Mateo. Gracias.,saber si hay espacios en inicial 3 anos para mateo gracias
WhatsApp,<p><b>Saber si hay espacios en inicial 5 años para Juan. Gracias.</b></p>,saber si hay espacios en inicial 5 anos para juan gracias
Email,"<p><b>Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Sofia.</b></p>",estimados quisiera saber los precios de 1ero secundaria para mi hijo sofia
WhatsApp,Saber si hay vacantes en 5to secundaria para Elena. Gracias.,saber si hay vacantes en 5to secundaria para elena gracias
Web,<p><b>citas de admision para inicial 4 años. Mi menor es Ana.</b></p>,citas de admision para inicial 4 anos mi menor es ana
Web,<p><b>entrevistas de admision para primer año. Mi menor es Thiago.</b></p>,entrevistas de admision para primer ano mi menor es thiago
WhatsApp,<p><b>Saber si hay lugares en secundaria para Ana. Gracias.</b></p>,saber si hay lugares en secundaria para ana gracias
Web,papeles para traslado a inicial 3 años. Postulante: Nicolas.,papeles para traslado a inicial 3 anos postulante nicolas
WhatsApp,Saber si hay disponibilidad de ingreso en inicial 4 años para Thiago. Gracias.,saber si hay disponibilidad de ingreso en inicial 4 anos para thiago gracias
WhatsApp,Saber si hay vacantes en primer grado para Sebastian. Gracias.,saber si hay vacantes en primer grado para sebastian gracias
Web,ficha de matrícula para traslado a inicial 4 años. Postulante: Lucia.,ficha de matricula para traslado a inicial 4 anos postulante lucia
Web,ficha de matrícula para traslado a 5to secundaria. Postulante: Nicolas.,ficha de matricula para traslado a 5to secundaria postulante nicolas
WhatsApp,SABER SI HAY LUGARES EN INICIAL 4 AÑOS PARA GABRIEL. GRACIAS.,saber si hay lugares en inicial 4 anos para gabriel gracias
Web,entrevistas de admision para 5to secundaria. Mi menor es Thiago.,entrevistas de admision para 5to secundaria mi menor es thiago
Web,reunión de admision para primer año. Mi menor es Valentina.,reunion de admision para primer ano mi menor es valentina
Email,"Estimados, quisiera saber los mensualidad de primer año para mi hijo Pedro.",estimados quisiera saber los mensualidad de primer ano para mi hijo pedro
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Gabriel.",estimados quisiera saber los precios de inicial 4 anos para mi hijo gabriel
Web,cronograma de admision para 1ero secundaria. Mi menor es Lucia.,cronograma de admision para 1ero secundaria mi menor es lucia
Web,charlas de admision para primer año. Mi menor es Valentina.,charlas de admision para primer ano mi menor es valentina
Web,papeles para traslado a primer grado. Postulante: Luis.,papeles para traslado a primer grado postulante luis
Email,"<p><b>Estimados, quisiera saber los cuotas de secundaria para mi hijo Mateo.</b></p>",estimados quisiera saber los cuotas de secundaria para mi hijo mateo
Web,papeles para traslado a primer año. Postulante: Juan.,papeles para traslado a primer ano postulante juan
Web,FICHA DE MATRÍCULA PARA TRASLADO A INICIAL 3 AÑOS. POSTULANTE: GABRIEL.,ficha de matricula para traslado a inicial 3 anos postulante gabriel
Web,DOCUMENTACIÓN PARA TRASLADO A INICIAL 4 AÑOS. POSTULANTE: VALENTINA.,documentacion para traslado a inicial 4 anos postulante valentina
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Camila.",estimados quisiera saber los precios de inicial 3 anos para mi hijo camila
WhatsApp,Saber si hay disponibilidad de ingreso en primer grado para Ana. Gracias.,saber si hay disponibilidad de ingreso en primer grado para ana gracias
Web,REUNIÓN DE ADMISION PARA 6TO PRIMARIA. MI MENOR ES THIAGO.,reunion de admision para 6to primaria mi menor es thiago
Email,Solicito información de costos y detalles para 6to primaria. Atte: Juan.,solicito informacion de costos y detalles para 6to primaria atte juan
WhatsApp,HOLA HAY VACANTES PARA 1ERO PRIMARIA? MI NIÑO SE LLAMA LUIS.,hola hay vacantes para 1ero primaria mi nino se llama luis
Email,"<p><b>Estimados, quisiera saber los costos de inicial 4 años para mi hijo Thiago.</b></p>",estimados quisiera saber los costos de inicial 4 anos para mi hijo thiago
Email,Solicito información de pensiones y detalles para primer año. Atte: Valentina.,solicito informacion de pensiones y detalles para primer ano atte valentina
Web,citas de admision para inicial 5 años. Mi menor es Luis.,citas de admision para inicial 5 anos mi menor es luis
Web,entrevistas de admision para primer grado. Mi menor es Valentina.,entrevistas de admision para primer grado mi menor es valentina
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en inicial 3 años para Mateo. Gracias.</b></p>,saber si hay disponibilidad de ingreso en inicial 3 anos para mateo gracias
Web,requisitos para traslado a 6to primaria. Postulante: Camila.,requisitos para traslado a 6to primaria postulante camila
Web,ficha de matrícula para traslado a 5to secundaria. Postulante: Maria.,ficha de matricula para traslado a 5to secundaria postulante maria
WhatsApp,Hola hay disponibilidad de ingreso para secundaria? Mi niño se llama Mateo.,hola hay disponibilidad de ingreso para secundaria mi nino se llama mateo
Email,"<p><b>Estimados, quisiera saber los mensualidad de inicial 5 años para mi hijo Luis.</b></p>",estimados quisiera saber los mensualidad de inicial 5 anos para mi hijo luis
Web,entrevistas de admision para 1ero primaria. Mi menor es Pedro.,entrevistas de admision para 1ero primaria mi menor es pedro
WhatsApp,Saber si hay lugares en inicial 5 años para Luis. Gracias.,saber si hay lugares en inicial 5 anos para luis gracias
