fuente,contenido
Web,entrevistas de admision para 1ero secundaria. Mi menor es Elena.
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA INICIAL 3 AÑOS. ATTE: LUIS.
Web,partidas para traslado a inicial 4 años. Postulante: Maria.
Web,<p><b>partidas para traslado a secundaria. Postulante: Ana.</b></p>
Web,<p><b>citas de admision para primer grado. Mi menor es Gabriel.</b></p>
Email,Solicito información de mensualidad y detalles para 6to primaria. Atte: Ana.
WhatsApp,Hola hay disponibilidad de ingreso para inicial 5 años? Mi niño se llama Luis.
WhatsApp,Saber si hay lugares en inicial 3 años para Camila. Gracias.
Web,cronograma de admision para inicial 4 años. Mi menor es Elena.
Web,ficha de matrícula para traslado a 1ero primaria. Postulante: Pedro.
Web,<p><b>partidas para traslado a secundaria. Postulante: Camila.</b></p>
Web,charlas de admision para inicial 5 años. Mi menor es Maria.
Web,cronograma de admision para primer año. Mi menor es Elena.
Email,"ESTIMADOS, QUISIERA SABER LOS PENSIONES DE PRIMER GRADO PARA MI HIJO GABRIEL."
WhatsApp,Saber si hay disponibilidad de ingreso en 1ero primaria para Sofia. Gracias.
WhatsApp,SABER SI HAY LUGARES EN 1ERO PRIMARIA PARA CAMILA. GRACIAS.
Web,requisitos para traslado a inicial 4 años. Postulante: Sebastian.
WhatsApp,Hola hay vacantes para primer año? Mi niño se llama Lucia.
WhatsApp,Hola hay vacantes para 1ero primaria? Mi niño se llama Camila.
Web,<p><b>charlas de admision para inicial 5 años. Mi menor es Mateo.</b></p>
Web,ENTREVISTAS DE ADMISION PARA 1ERO PRIMARIA. MI MENOR ES ELENA.
Email,<p><b>Solicito información de cuotas y detalles para primer año. Atte: Lucia.</b></p>
WhatsApp,Saber si hay disponibilidad de ingreso en primer grado para Lucia. Gracias.
WhatsApp,Hola hay espacios para inicial 3 años? Mi niño se llama Sebastian.
Email,Solicito información de pagos y detalles para inicial 3 años. Atte: Lucia.
WhatsApp,Hola hay lugares para 1ero primaria? Mi niño se llama Luis.
Web,reunión de admision para 6to primaria. Mi menor es Pedro.
WhatsApp,Hola hay lugares para 5to secundaria? Mi niño se llama Mateo.
Web,reunión de admision para 1ero primaria. Mi menor es Mateo.
Email,"<p><b>Estimados, quisiera saber los costos de primer año para mi hijo Juan.</b></p>"
Web,<p><b>requisitos para traslado a 1ero secundaria. Postulante: Nicolas.</b></p>
Email,"Estimados, quisiera saber los costos de inicial 5 años para mi hijo Nicolas."
WhatsApp,HOLA HAY DISPONIBILIDAD DE INGRESO PARA INICIAL 3 AÑOS? MI NIÑO SE LLAMA MARIA.
Web,DOCUMENTOS PARA TRASLADO A INICIAL 3 AÑOS. POSTULANTE: PEDRO.
Email,"Estimados, quisiera saber los pensiones de inicial 3 años para mi hijo Nicolas."
Email,"Estimados, quisiera saber los cuotas de 5to secundaria para mi hijo Luis."
Web,<p><b>documentos para traslado a primer grado. Postulante: Camila.</b></p>
WhatsApp,<p><b>Saber si hay cupos en 1ero secundaria para Ana. Gracias.</b></p>
Web,entrevistas de admision para inicial 4 años. Mi menor es Elena.
Web,requisitos para traslado a inicial 5 años. Postulante: Camila.
Email,"Estimados, quisiera saber los pensiones de inicial 4 años para mi hijo Luis."
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Gabriel."
Email,"<p><b>Estimados, quisiera saber los pensiones de 1ero secundaria para mi hijo Sebastian.</b></p>"
Web,cronograma de admision para 1ero primaria. Mi menor es Luis.
Email,"ESTIMADOS, QUISIERA SABER LOS COSTOS DE INICIAL 4 AÑOS PARA MI HIJO SEBASTIAN."
Web,citas de admision para 1ero secundaria. Mi menor es Sofia.
WhatsApp,Hola hay disponibilidad de ingreso para inicial 3 años? Mi niño se llama Valentina.
WhatsApp,HOLA HAY LUGARES PARA PRIMER GRADO? MI NIÑO SE LLAMA ANA.
WhatsApp,Saber si hay disponibilidad de ingreso en 5to secundaria para Camila. Gracias.
WhatsApp,Saber si hay disponibilidad de ingreso en 5to secundaria para Sebastian. Gracias.
Email,"Estimados, quisiera saber los pagos de primer año para mi hijo Luis."
Web,PARTIDAS PARA TRASLADO A INICIAL 4 AÑOS. POSTULANTE: SEBASTIAN.
Email,"<p><b>Estimados, quisiera saber los costos de 1ero secundaria para mi hijo Maria.</b></p>"
Email,<p><b>Solicito información de mensualidad y detalles para primer grado. Atte: Valentina.</b></p>
Email,Solicito información de pagos y detalles para 6to primaria. Atte: Elena.
Email,"Estimados, quisiera saber los cuotas de inicial 3 años para mi hijo Sebastian."
Email,Solicito información de cuotas y detalles para 6to primaria. Atte: Lucia.
WhatsApp,Saber si hay cupos en primer año para Pedro. Gracias.
Web,CITAS DE ADMISION PARA PRIMER GRADO. MI MENOR ES ELENA.
Email,"Estimados, quisiera saber los costos de 6to primaria para mi hijo Maria."
WhatsApp,Hola hay espacios para 1ero secundaria? Mi niño se llama Camila.
Email,"Estimados, quisiera saber los costos de inicial 3 años para mi hijo Ana."
Web,reunión de admision para inicial 5 años. Mi menor es Gabriel.
WhatsApp,HOLA HAY CUPOS PARA 5TO SECUNDARIA? MI NIÑO SE LLAMA ELENA.
Email,"Estimados, quisiera saber los cuotas de 5to secundaria para mi hijo Nicolas."
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN PRIMER AÑO PARA JUAN. GRACIAS.
WhatsApp,Hola hay espacios para 6to primaria? Mi niño se llama Camila.
Web,<p><b>documentos para traslado a secundaria. Postulante: Elena.</b></p>
Web,cronograma de admision para primer año. Mi menor es Sofia.
WhatsApp,<p><b>Hola hay vacantes para inicial 3 años? Mi niño se llama Elena.</b></p>
WhatsApp,HOLA HAY CUPOS PARA PRIMER GRADO? MI NIÑO SE LLAMA MARIA.
Email,<p><b>Solicito información de precios y detalles para primer grado. Atte: Elena.</b></p>
Email,<p><b>Solicito información de pagos y detalles para secundaria. Atte: Pedro.</b></p>
WhatsApp,Hola hay espacios para secundaria? Mi niño se llama Pedro.
Email,<p><b>Solicito información de costos y detalles para 5to secundaria. Atte: Ana.</b></p>
Email,"Estimados, quisiera saber los cuotas de 1ero primaria para mi hijo Valentina."
WhatsApp,Saber si hay lugares en inicial 3 años para Nicolas. Gracias.
Web,documentos para traslado a inicial 4 años. Postulante: Gabriel.
Web,requisitos para traslado a 6to primaria. Postulante: Lucia.
WhatsApp,Hola hay disponibilidad de ingreso para 6to primaria? Mi niño se llama Maria.
Web,documentación para traslado a 6to primaria. Postulante: Elena.
WhatsApp,Hola hay lugares para primer año? Mi niño se llama Elena.
WhatsApp,Hola hay lugares para 6to primaria? Mi niño se llama Thiago.
Web,ficha de matrícula para traslado a 1ero secundaria. Postulante: Gabriel.
Email,Solicito información de precios y detalles para inicial 3 años. Atte: Pedro.
Web,ficha de matrícula para traslado a inicial 5 años. Postulante: Valentina.
Email,"Estimados, quisiera saber los cuotas de 1ero secundaria para mi hijo Mateo."
WhatsApp,HOLA HAY ESPACIOS PARA PRIMER GRADO? MI NIÑO SE LLAMA SEBASTIAN.
WhatsApp,Saber si hay lugares en 1ero secundaria para Sofia. Gracias.
WhatsApp,<p><b>Saber si hay vacantes en 5to secundaria para Maria. Gracias.</b></p>
Web,ficha de matrícula para traslado a 6to primaria. Postulante: Luis.
Web,ENTREVISTAS DE ADMISION PARA SECUNDARIA. MI MENOR ES LUIS.
Email,"<p><b>Estimados, quisiera saber los mensualidad de primer año para mi hijo Ana.</b></p>"
Web,papeles para traslado a primer grado. Postulante: Gabriel.
Web,documentación para traslado a 1ero primaria. Postulante: Nicolas.
WhatsApp,Saber si hay cupos en primer grado para Nicolas. Gracias.
Web,entrevistas de admision para primer grado. Mi menor es Nicolas.
Web,cronograma de admision para 1ero secundaria. Mi menor es Elena.
Web,CRONOGRAMA DE ADMISION PARA 6TO PRIMARIA. MI MENOR ES NICOLAS.
Email,"Estimados, quisiera saber los cuotas de secundaria para mi hijo Luis."
WhatsApp,Saber si hay vacantes en 6to primaria para Camila. Gracias.
WhatsApp,Saber si hay disponibilidad de ingreso en primer grado para Gabriel. Gracias.
WhatsApp,HOLA HAY ESPACIOS PARA INICIAL 4 AÑOS? MI NIÑO SE LLAMA NICOLAS.
Email,Solicito información de costos y detalles para primer año. Atte: Nicolas.
Web,ENTREVISTAS DE ADMISION PARA 1ERO SECUNDARIA. MI MENOR ES LUCIA.
Email,"<p><b>Estimados, quisiera saber los pensiones de inicial 4 años para mi hijo Gabriel.</b></p>"
Web,CRONOGRAMA DE ADMISION PARA PRIMER GRADO. MI MENOR ES LUIS.
WhatsApp,Hola hay cupos para primer año? Mi niño se llama Pedro.
Email,<p><b>Solicito información de pensiones y detalles para primer año. Atte: Maria.</b></p>
Email,"Estimados, quisiera saber los mensualidad de primer año para mi hijo Gabriel."
Web,ficha de matrícula para traslado a 1ero primaria. Postulante: Ana.
WhatsApp,<p><b>Hola hay cupos para inicial 3 años? Mi niño se llama Valentina.</b></p>
Web,ficha de matrícula para traslado a inicial 3 años. Postulante: Pedro.
WhatsApp,Hola hay disponibilidad de ingreso para primer grado? Mi niño se llama Thiago.
Email,"Estimados, quisiera saber los cuotas de inicial 4 años para mi hijo Sofia."
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Lucia."
Web,<p><b>requisitos para traslado a inicial 3 años. Postulante: Lucia.</b></p>
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA INICIAL 3 AÑOS. ATTE: GABRIEL.
Email,SOLICITO INFORMACIÓN DE PENSIONES Y DETALLES PARA INICIAL 5 AÑOS. ATTE: MARIA.
Web,ficha de matrícula para traslado a inicial 4 años. Postulante: Lucia.
Web,charlas de admision para secundaria. Mi menor es Luis.
Email,"Estimados, quisiera saber los pagos de secundaria para mi hijo Ana."
WhatsApp,Saber si hay cupos en inicial 3 años para Valentina. Gracias.
Web,<p><b>citas de admision para inicial 4 años. Mi menor es Valentina.</b></p>
Email,Solicito información de pensiones y detalles para 5to secundaria. Atte: Maria.
Email,"ESTIMADOS, QUISIERA SABER LOS PAGOS DE SECUNDARIA PARA MI HIJO LUIS."
WhatsApp,Hola hay lugares para 1ero primaria? Mi niño se llama Valentina.
Web,documentos para traslado a inicial 5 años. Postulante: Ana.
WhatsApp,Hola hay lugares para secundaria? Mi niño se llama Sebastian.
WhatsApp,Hola hay vacantes para secundaria? Mi niño se llama Valentina.
Email,Solicito información de pensiones y detalles para 1ero primaria. Atte: Mateo.
Email,"Estimados, quisiera saber los mensualidad de primer año para mi hijo Ana."
WhatsApp,<p><b>Hola hay cupos para inicial 3 años? Mi niño se llama Gabriel.</b></p>
Web,<p><b>ficha de matrícula para traslado a 1ero primaria. Postulante: Ana.</b></p>
Email,<p><b>Solicito información de cuotas y detalles para 1ero secundaria. Atte: Sofia.</b></p>
Email,"Estimados, quisiera saber los costos de 1ero primaria para mi hijo Thiago."
Email,Solicito información de pagos y detalles para 6to primaria. Atte: Ana.
WhatsApp,<p><b>Saber si hay espacios en 1ero primaria para Mateo. Gracias.</b></p>
WhatsApp,Hola hay disponibilidad de ingreso para inicial 3 años? Mi niño se llama Maria.
Web,partidas para traslado a 1ero secundaria. Postulante: Mateo.
Web,<p><b>papeles para traslado a inicial 4 años. Postulante: Nicolas.</b></p>
Web,charlas de admision para primer año. Mi menor es Thiago.
WhatsApp,Hola hay vacantes para primer grado? Mi niño se llama Valentina.
Email,"Estimados, quisiera saber los costos de inicial 5 años para mi hijo Luis."
Email,Solicito información de cuotas y detalles para 1ero secundaria. Atte: Juan.
Email,SOLICITO INFORMACIÓN DE MENSUALIDAD Y DETALLES PARA INICIAL 3 AÑOS. ATTE: LUCIA.
WhatsApp,<p><b>Saber si hay vacantes en 6to primaria para Camila. Gracias.</b></p>
Web,reunión de admision para primer grado. Mi menor es Juan.
WhatsApp,Hola hay lugares para primer grado? Mi niño se llama Elena.
WhatsApp,Hola hay cupos para primer año? Mi niño se llama Mateo.
Email,<p><b>Solicito información de pagos y detalles para secundaria. Atte: Luis.</b></p>
Web,<p><b>citas de admision para 5to secundaria. Mi menor es Gabriel.</b></p>
Email,Solicito información de pagos y detalles para 6to primaria. Atte: Ana.
WhatsApp,<p><b>Hola hay lugares para 1ero primaria? Mi niño se llama Mateo.</b></p>
WhatsApp,Hola hay cupos para 1ero secundaria? Mi niño se llama Camila.
Web,<p><b>entrevistas de admision para secundaria. Mi menor es Juan.</b></p>
Web,ficha de matrícula para traslado a primer año. Postulante: Pedro.
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en inicial 4 años para Valentina. Gracias.</b></p>
Web,cronograma de admision para 6to primaria. Mi menor es Lucia.
WhatsApp,Saber si hay espacios en inicial 5 años para Lucia. Gracias.
Email,"Estimados, quisiera saber los cuotas de primer grado para mi hijo Lucia."
Web,entrevistas de admision para inicial 3 años. Mi menor es Sebastian.
Web,<p><b>cronograma de admision para inicial 5 años. Mi menor es Pedro.</b></p>
WhatsApp,HOLA HAY DISPONIBILIDAD DE INGRESO PARA 1ERO SECUNDARIA? MI NIÑO SE LLAMA SEBASTIAN.
Web,citas de admision para 1ero primaria. Mi menor es Maria.
Email,"<p><b>Estimados, quisiera saber los costos de inicial 3 años para mi hijo Valentina.</b></p>"
WhatsApp,Saber si hay vacantes en inicial 5 años para Juan. Gracias.
Email,Solicito información de mensualidad y detalles para inicial 3 años. Atte: Sebastian.
Web,CHARLAS DE ADMISION PARA INICIAL 4 AÑOS. MI MENOR ES GABRIEL.
Email,"Estimados, quisiera saber los cuotas de inicial 3 años para mi hijo Ana."
Web,entrevistas de admision para 6to primaria. Mi menor es Maria.
Web,documentación para traslado a inicial 5 años. Postulante: Thiago.
Email,Solicito información de precios y detalles para 6to primaria. Atte: Mateo.
Email,"<p><b>Estimados, quisiera saber los cuotas de 1ero secundaria para mi hijo Elena.</b></p>"
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Sebastian."
Email,"ESTIMADOS, QUISIERA SABER LOS MENSUALIDAD DE 5TO SECUNDARIA PARA MI HIJO MARIA."
Web,citas de admision para 5to secundaria. Mi menor es Camila.
WhatsApp,Hola hay cupos para 1ero primaria? Mi niño se llama Valentina.
Email,"Estimados, quisiera saber los costos de 5to secundaria para mi hijo Sebastian."
Web,CRONOGRAMA DE ADMISION PARA PRIMER GRADO. MI MENOR ES ELENA.
Web,reunión de admision para 6to primaria. Mi menor es Gabriel.
Web,documentación para traslado a secundaria. Postulante: Sofia.
Web,documentación para traslado a 5to secundaria. Postulante: Sebastian.
WhatsApp,Saber si hay disponibilidad de ingreso en inicial 3 años para Pedro. Gracias.
Web,papeles para traslado a secundaria. Postulante: Lucia.
Email,"ESTIMADOS, QUISIERA SABER LOS CUOTAS DE 1ERO PRIMARIA PARA MI HIJO THIAGO."
WhatsApp,SABER SI HAY LUGARES EN INICIAL 3 AÑOS PARA MATEO. GRACIAS.
Email,Solicito información de pagos y detalles para inicial 5 años. Atte: Juan.
WhatsApp,Saber si hay vacantes en primer grado para Juan. Gracias.
Web,reunión de admision para 1ero secundaria. Mi menor es Sebastian.
Web,<p><b>ficha de matrícula para traslado a primer grado. Postulante: Elena.</b></p>
Web,<p><b>charlas de admision para 6to primaria. Mi menor es Lucia.</b></p>
Email,"ESTIMADOS, QUISIERA SABER LOS PAGOS DE INICIAL 3 AÑOS PARA MI HIJO ANA."
WhatsApp,Saber si hay disponibilidad de ingreso en 6to primaria para Gabriel. Gracias.
Web,ficha de matrícula para traslado a 6to primaria. Postulante: Maria.
WhatsApp,<p><b>Hola hay lugares para primer año? Mi niño se llama Ana.</b></p>
Web,<p><b>citas de admision para 5to secundaria. Mi menor es Gabriel.</b></p>
Email,Solicito información de mensualidad y detalles para 6to primaria. Atte: Sofia.
Web,partidas para traslado a primer grado. Postulante: Maria.
Email,"Estimados, quisiera saber los cuotas de 6to primaria para mi hijo Juan."
Web,ficha de matrícula para traslado a primer año. Postulante: Maria.
Web,citas de admision para primer año. Mi menor es Nicolas.
WhatsApp,SABER SI HAY LUGARES EN 1ERO PRIMARIA PARA THIAGO. GRACIAS.
Email,"Estimados, quisiera saber los precios de primer año para mi hijo Sebastian."
WhatsApp,Saber si hay espacios en 6to primaria para Pedro. Gracias.
WhatsApp,Saber si hay disponibilidad de ingreso en secundaria para Ana. Gracias.
Web,<p><b>cronograma de admision para inicial 5 años. Mi menor es Camila.</b></p>
WhatsApp,Saber si hay espacios en primer grado para Elena. Gracias.
Email,Solicito información de precios y detalles para 5to secundaria. Atte: Luis.
Email,Solicito información de cuotas y detalles para inicial 3 años. Atte: Camila.
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en inicial 5 años para Juan. Gracias.</b></p>
Email,Solicito información de cuotas y detalles para 1ero secundaria. Atte: Mateo.
WhatsApp,Hola hay lugares para primer grado? Mi niño se llama Maria.
Email,Solicito información de mensualidad y detalles para inicial 4 años. Atte: Camila.
Web,entrevistas de admision para 1ero primaria. Mi menor es Ana.
Web,<p><b>cronograma de admision para secundaria. Mi menor es Ana.</b></p>
Web,requisitos para traslado a 1ero secundaria. Postulante: Gabriel.
Email,"Estimados, quisiera saber los costos de 1ero secundaria para mi hijo Lucia."
Web,entrevistas de admision para inicial 4 años. Mi menor es Lucia.
Email,<p><b>Solicito información de pensiones y detalles para inicial 3 años. Atte: Elena.</b></p>
WhatsApp,Hola hay lugares para secundaria? Mi niño se llama Juan.
Email,SOLICITO INFORMACIÓN DE PENSIONES Y DETALLES PARA 1ERO SECUNDARIA. ATTE: PEDRO.
Web,charlas de admision para 1ero secundaria. Mi menor es Sebastian.
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Sebastian."
Email,Solicito información de precios y detalles para inicial 4 años. Atte: Nicolas.
WhatsApp,Saber si hay lugares en 1ero primaria para Valentina. Gracias.
Email,"Estimados, quisiera saber los pagos de primer año para mi hijo Nicolas."
WhatsApp,<p><b>Hola hay espacios para primer grado? Mi niño se llama Sofia.</b></p>
Email,"Estimados, quisiera saber los pagos de inicial 5 años para mi hijo Camila."
Web,papeles para traslado a inicial 5 años. Postulante: Camila.
WhatsApp,<p><b>Hola hay lugares para inicial 4 años? Mi niño se llama Maria.</b></p>
Email,Solicito información de costos y detalles para 1ero primaria. Atte: Elena.
WhatsApp,<p><b>Saber si hay lugares en secundaria para Camila. Gracias.</b></p>
Web,requisitos para traslado a secundaria. Postulante: Maria.
WhatsApp,Hola hay cupos para 1ero primaria? Mi niño se llama Thiago.
WhatsApp,<p><b>Saber si hay cupos en inicial 4 años para Pedro. Gracias.</b></p>
Web,requisitos para traslado a primer grado. Postulante: Elena.
Email,"Estimados, quisiera saber los costos de 1ero secundaria para mi hijo Valentina."
Web,CRONOGRAMA DE ADMISION PARA PRIMER GRADO. MI MENOR ES ANA.
Web,reunión de admision para 5to secundaria. Mi menor es Ana.
WhatsApp,Saber si hay lugares en 1ero primaria para Nicolas. Gracias.
Web,ficha de matrícula para traslado a inicial 3 años. Postulante: Valentina.
Web,documentos para traslado a inicial 4 años. Postulante: Valentina.
Web,charlas de admision para 6to primaria. Mi menor es Valentina.
Web,<p><b>cronograma de admision para primer año. Mi menor es Thiago.</b></p>
Email,Solicito información de precios y detalles para secundaria. Atte: Valentina.
WhatsApp,Saber si hay lugares en inicial 5 años para Nicolas. Gracias.
WhatsApp,<p><b>Saber si hay espacios en primer año para Valentina. Gracias.</b></p>
WhatsApp,HOLA HAY VACANTES PARA INICIAL 5 AÑOS? MI NIÑO SE LLAMA LUIS.
Web,REUNIÓN DE ADMISION PARA INICIAL 5 AÑOS. MI MENOR ES CAMILA.
Email,"Estimados, quisiera saber los precios de inicial 5 años para mi hijo Thiago."
Web,DOCUMENTACIÓN PARA TRASLADO A INICIAL 5 AÑOS. POSTULANTE: ANA.
Email,Solicito información de costos y detalles para inicial 5 años. Atte: Lucia.
Email,"Estimados, quisiera saber los cuotas de inicial 4 años para mi hijo Mateo."
Email,"Estimados, quisiera saber los pagos de inicial 4 años para mi hijo Maria."
Email,"<p><b>Estimados, quisiera saber los precios de inicial 3 años para mi hijo Ana.</b></p>"
Web,reunión de admision para primer grado. Mi menor es Luis.
Web,PARTIDAS PARA TRASLADO A 1ERO SECUNDARIA. POSTULANTE: NICOLAS.
WhatsApp,Saber si hay cupos en 1ero secundaria para Nicolas. Gracias.
Email,Solicito información de costos y detalles para 1ero primaria. Atte: Luis.
Email,"Estimados, quisiera saber los precios de inicial 5 años para mi hijo Maria."
Web,<p><b>entrevistas de admision para primer año. Mi menor es Ana.</b></p>
WhatsApp,Saber si hay vacantes en primer año para Nicolas. Gracias.
Email,SOLICITO INFORMACIÓN DE COSTOS Y DETALLES PARA INICIAL 5 AÑOS. ATTE: VALENTINA.
WhatsApp,Hola hay disponibilidad de ingreso para primer año? Mi niño se llama Elena.
Web,ENTREVISTAS DE ADMISION PARA INICIAL 5 AÑOS. MI MENOR ES PEDRO.
Web,<p><b>cronograma de admision para secundaria. Mi menor es Gabriel.</b></p>
WhatsApp,Hola hay disponibilidad de ingreso para inicial 5 años? Mi niño se llama Ana.
Email,"Estimados, quisiera saber los cuotas de 1ero primaria para mi hijo Luis."
Email,<p><b>Solicito información de cuotas y detalles para 5to secundaria. Atte: Maria.</b></p>
Email,"Estimados, quisiera saber los precios de secundaria para mi hijo Sebastian."
Web,citas de admision para inicial 4 años. Mi menor es Maria.
WhatsApp,Saber si hay espacios en inicial 5 años para Ana. Gracias.
WhatsApp,HOLA HAY VACANTES PARA 6TO PRIMARIA? MI NIÑO SE LLAMA MARIA.
Web,entrevistas de admision para inicial 3 años. Mi menor es Pedro.
WhatsApp,<p><b>Saber si hay cupos en 1ero primaria para Elena. Gracias.</b></p>
Email,Solicito información de mensualidad y detalles para primer año. Atte: Mateo.
Email,SOLICITO INFORMACIÓN DE COSTOS Y DETALLES PARA 5TO SECUNDARIA. ATTE: SOFIA.
Web,documentación para traslado a inicial 4 años. Postulante: Elena.
Web,PAPELES PARA TRASLADO A INICIAL 5 AÑOS. POSTULANTE: ANA.
WhatsApp,Saber si hay cupos en inicial 3 años para Sofia. Gracias.
Web,citas de admision para secundaria. Mi menor es Sebastian.
Email,Solicito información de costos y detalles para 6to primaria. Atte: Ana.
Web,partidas para traslado a secundaria. Postulante: Maria.
Email,<p><b>Solicito información de cuotas y detalles para 6to primaria. Atte: Camila.</b></p>
Web,CHARLAS DE ADMISION PARA PRIMER AÑO. MI MENOR ES LUIS.
WhatsApp,Saber si hay espacios en inicial 5 años para Juan. Gracias.
WhatsApp,Saber si hay lugares en inicial 5 años para Luis. Gracias.
Web,documentación para traslado a 5to secundaria. Postulante: Maria.
Email,<p><b>Solicito información de costos y detalles para secundaria. Atte: Sofia.</b></p>
WhatsApp,<p><b>Hola hay lugares para primer grado? Mi niño se llama Pedro.</b></p>
Web,<p><b>documentos para traslado a inicial 5 años. Postulante: Elena.</b></p>
WhatsApp,Hola hay lugares para secundaria? Mi niño se llama Ana.
WhatsApp,Saber si hay lugares en 5to secundaria para Sebastian. Gracias.
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Luis."
Email,"ESTIMADOS, QUISIERA SABER LOS PENSIONES DE 1ERO SECUNDARIA PARA MI HIJO ANA."
Web,reunión de admision para inicial 5 años. Mi menor es Valentina.
Web,<p><b>entrevistas de admision para secundaria. Mi menor es Maria.</b></p>
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Elena.
Web,PAPELES PARA TRASLADO A INICIAL 5 AÑOS. POSTULANTE: ANA.
Web,documentación para traslado a 5to secundaria. Postulante: Pedro.
Web,requisitos para traslado a 1ero secundaria. Postulante: Gabriel.
Web,documentos para traslado a 5to secundaria. Postulante: Nicolas.
Web,citas de admision para inicial 5 años. Mi menor es Elena.
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Maria."
Web,documentos para traslado a primer grado. Postulante: Luis.
Email,"Estimados, quisiera saber los costos de 1ero primaria para mi hijo Luis."
WhatsApp,Hola hay espacios para inicial 5 años? Mi niño se llama Lucia.
Web,reunión de admision para inicial 3 años. Mi menor es Gabriel.
Email,"<p><b>Estimados, quisiera saber los cuotas de inicial 3 años para mi hijo Mateo.</b></p>"
Email,<p><b>Solicito información de precios y detalles para secundaria. Atte: Elena.</b></p>
Email,"ESTIMADOS, QUISIERA SABER LOS MENSUALIDAD DE INICIAL 5 AÑOS PARA MI HIJO NICOLAS."
WhatsApp,Saber si hay vacantes en inicial 3 años para Juan. Gracias.
WhatsApp,HOLA HAY LUGARES PARA 6TO PRIMARIA? MI NIÑO SE LLAMA MATEO.
WhatsApp,SABER SI HAY CUPOS EN 5TO SECUNDARIA PARA SEBASTIAN. GRACIAS.
WhatsApp,Hola hay lugares para primer grado? Mi niño se llama Valentina.
Email,"Estimados, quisiera saber los pagos de inicial 4 años para mi hijo Maria."
Email,Solicito información de precios y detalles para 5to secundaria. Atte: Maria.
WhatsApp,HOLA HAY VACANTES PARA PRIMER AÑO? MI NIÑO SE LLAMA GABRIEL.
Email,"<p><b>Estimados, quisiera saber los costos de 5to secundaria para mi hijo Thiago.</b></p>"
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en 6to primaria para Mateo. Gracias.</b></p>
WhatsApp,HOLA HAY DISPONIBILIDAD DE INGRESO PARA 6TO PRIMARIA? MI NIÑO SE LLAMA THIAGO.
Email,SOLICITO INFORMACIÓN DE PENSIONES Y DETALLES PARA INICIAL 4 AÑOS. ATTE: GABRIEL.
Email,Solicito información de precios y detalles para 1ero primaria. Atte: Maria.
Web,cronograma de admision para inicial 3 años. Mi menor es Juan.
Email,"ESTIMADOS, QUISIERA SABER LOS CUOTAS DE INICIAL 4 AÑOS PARA MI HIJO NICOLAS."
Web,<p><b>citas de admision para primer grado. Mi menor es Camila.</b></p>
Email,SOLICITO INFORMACIÓN DE MENSUALIDAD Y DETALLES PARA 1ERO SECUNDARIA. ATTE: LUCIA.
WhatsApp,Saber si hay espacios en primer año para Camila. Gracias.
Email,SOLICITO INFORMACIÓN DE PAGOS Y DETALLES PARA PRIMER GRADO. ATTE: NICOLAS.
WhatsApp,Hola hay espacios para inicial 5 años? Mi niño se llama Nicolas.
Web,charlas de admision para 5to secundaria. Mi menor es Nicolas.
Email,Solicito información de pensiones y detalles para inicial 5 años. Atte: Nicolas.
WhatsApp,Hola hay disponibilidad de ingreso para 6to primaria? Mi niño se llama Ana.
Web,CHARLAS DE ADMISION PARA 1ERO SECUNDARIA. MI MENOR ES CAMILA.
Web,CRONOGRAMA DE ADMISION PARA INICIAL 3 AÑOS. MI MENOR ES LUIS.
Email,"Estimados, quisiera saber los pagos de primer año para mi hijo Lucia."
WhatsApp,Hola hay disponibilidad de ingreso para 1ero primaria? Mi niño se llama Lucia.
Email,Solicito información de mensualidad y detalles para 1ero secundaria. Atte: Nicolas.
WhatsApp,Hola hay disponibilidad de ingreso para 6to primaria? Mi niño se llama Elena.
Email,"ESTIMADOS, QUISIERA SABER LOS PAGOS DE 5TO SECUNDARIA PARA MI HIJO ELENA."
Web,ficha de matrícula para traslado a secundaria. Postulante: Lucia.
WhatsApp,Saber si hay cupos en inicial 4 años para Juan. Gracias.
WhatsApp,HOLA HAY ESPACIOS PARA 1ERO PRIMARIA? MI NIÑO SE LLAMA PEDRO.
WhatsApp,Hola hay disponibilidad de ingreso para 5to secundaria? Mi niño se llama Thiago.
Email,Solicito información de precios y detalles para 5to secundaria. Atte: Thiago.
WhatsApp,Hola hay vacantes para secundaria? Mi niño se llama Nicolas.
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Ana.
Web,reunión de admision para 1ero secundaria. Mi menor es Gabriel.
Email,Solicito información de pagos y detalles para inicial 3 años. Atte: Camila.
Email,Solicito información de cuotas y detalles para 5to secundaria. Atte: Sofia.
